Timestamp,Yeld_10Y,Dividend,E,CAPE,T_Bill
1986-09-01,0.0745,8.24667,14.85,13.425918860857358,0.0521
1986-12-01,0.0723,8.3,14.48,14.922208103718942,0.0553
1987-03-01,0.0751,8.4,15.1,16.196534453220877,0.0559
1987-06-01,0.08380000000000001,8.56667,14.42,17.306004390512225,0.0567
1987-09-01,0.09630000000000001,8.71,15.86,15.530055563627313,0.064
1987-12-01,0.0883,8.85667,17.5,13.898336683569136,0.057699999999999994
1988-03-01,0.0857,9.04333,18.59,14.433316420838944,0.057
1988-06-01,0.0882,9.30667,21.67,14.608315717522101,0.0646
1988-09-01,0.08869999999999999,9.55,22.73,14.811450153277729,0.0724
1988-12-01,0.09140000000000001,9.81333,23.75,15.088072442713292,0.08070000000000001
1989-03-01,0.09300000000000001,10.0867,24.96,15.686742656144586,0.0882
1989-06-01,0.081,10.4233,25.22,17.013407650499133,0.0815
1989-09-01,0.08310000000000001,10.7967,23.69,17.640853852797953,0.0775
1989-12-01,0.0793,11.14,22.87,17.04884360687827,0.07629999999999999
1990-03-01,0.08650000000000001,11.4367,21.67,16.813913898735766,0.079
1990-06-01,0.0843,11.7267,21.26,17.74717158707024,0.07730000000000001
1990-09-01,0.0882,11.9267,21.74,14.818147965500792,0.0736
1990-12-01,0.0808,12.1067,21.34,15.606190118802358,0.0674
1991-03-01,0.0805,12.13,20.94,18.15534589519801,0.0591
1991-06-01,0.0824,12.1933,19.41,18.103452345519738,0.0557
1991-09-01,0.0747,12.2533,17.82,18.34918799200197,0.052199999999999996
1991-12-01,0.06709999999999999,12.24,15.97,19.773068211462625,0.0407
1992-03-01,0.0754,12.32,16.19,19.30122950788103,0.0404
1992-06-01,0.07139999999999999,12.3433,17.05,19.62074069482439,0.0366
1992-09-01,0.0637,12.3867,18.04,19.370271076906956,0.0291
1992-12-01,0.067,12.4133,19.09,20.323410802995696,0.0322
1993-03-01,0.0603,12.4933,19.84,20.457362016642172,0.029500000000000002
1993-06-01,0.057999999999999996,12.52,19.33,20.564596413297135,0.030699999999999998
1993-09-01,0.054000000000000006,12.54,20.41,21.109178247475118,0.029500000000000002
1993-12-01,0.0583,12.6233,21.89,21.411974913826537,0.030600000000000002
1994-03-01,0.0677,12.7533,22.71,20.05525008506385,0.035
1994-06-01,0.07339999999999999,12.87,25.2,20.067951816142152,0.0414
1994-09-01,0.0762,13.0133,27.33,20.395759282410268,0.0462
1994-12-01,0.0784,13.18,30.6,20.219119422457307,0.055999999999999994
1995-03-01,0.07200000000000001,13.2433,32.55,21.642739261879658,0.057300000000000004
1995-06-01,0.0621,13.44,34.43,23.376412691512122,0.0547
1995-09-01,0.0617,13.65,35.18,23.92676276408327,0.0528
1995-12-01,0.0558,13.8933,33.96,24.76246519464403,0.051399999999999994
1996-03-01,0.0634,14.1567,34.04,25.424203848381524,0.0496
1996-06-01,0.0673,14.4,34.91,24.85841133234838,0.0509
1996-09-01,0.0672,14.74,36.0,26.483467720897192,0.0509
1996-12-01,0.0643,14.9533,38.73,28.332870129950358,0.049100000000000005
1997-03-01,0.0692,15.0933,40.24,27.585160338136525,0.051399999999999994
1997-06-01,0.06509999999999999,15.2167,40.55,32.76663768966992,0.0493
1997-09-01,0.061200000000000004,15.3867,40.64,32.90149817979809,0.0495
1997-12-01,0.0575,15.55,39.72,32.859968415052215,0.0516
1998-03-01,0.0567,15.75,39.54,37.27693404302873,0.050300000000000004
1998-06-01,0.054400000000000004,16.0167,38.97,38.25964508524854,0.049800000000000004
1998-09-01,0.0444,16.1667,38.09,33.77310287904813,0.0461
1998-12-01,0.04650000000000001,16.28333333,37.71,40.57695767720811,0.043899999999999995
1999-03-01,0.0525,16.45,38.38,42.704509516892145,0.0444
1999-06-01,0.0581,16.513333333333335,41.02,43.8280359928054,0.045700000000000005
1999-09-01,0.059000000000000004,16.656666666666666,43.96,40.552854399539875,0.046799999999999994
1999-12-01,0.0645,16.713333333333335,48.17,43.772578146938,0.052000000000000005
2000-03-01,0.0603,16.740000000000002,50.95,43.52857428850775,0.056900000000000006
2000-06-01,0.0603,16.583333333333332,51.92,42.75809361826959,0.056900000000000006
2000-09-01,0.057999999999999996,16.323333333333334,53.7,39.369699044201376,0.06
2000-12-01,0.0512,16.169999999999998,50.0,36.97886799702983,0.057699999999999994
2001-03-01,0.0493,15.876666666666665,45.44,32.1739011683607,0.044199999999999996
2001-06-01,0.0542,15.706666666666667,36.79,32.163038687444356,0.0349
2001-09-01,0.046,15.740000000000002,28.31,28.577373113360114,0.0264
2001-12-01,0.0507,15.736666666666668,24.69,30.277204433096006,0.0169
2002-03-01,0.0542,15.833333333333332,24.7,29.005883253118707,0.0179
2002-06-01,0.048600000000000004,15.96,26.74,23.463120467431455,0.017
2002-09-01,0.0363,15.89,30.04,21.95623386365909,0.0163
2002-12-01,0.0383,16.119999999999997,27.59,22.898348576613227,0.011899999999999999
2003-03-01,0.0383,16.203333333333333,30.32,22.427939577730907,0.0113
2003-06-01,0.0354,16.310000000000002,34.55,24.86732910126879,0.0092
2003-09-01,0.039599999999999996,16.85666666666667,38.58,25.682756070579696,0.009399999999999999
2003-12-01,0.042699999999999995,17.6,48.74,27.65854035573659,0.009000000000000001
2004-03-01,0.038599999999999995,18.213333333333335,52.0,26.900577508444897,0.009399999999999999
2004-06-01,0.0462,18.78666666666667,56.15,25.695888646268564,0.0127
2004-09-01,0.0414,19.253333333333334,57.77,25.41165566548935,0.0165
2004-12-01,0.0424,19.703333333333333,58.55,26.58725069797039,0.0219
2005-03-01,0.045,20.46333333333333,60.22,25.408922569114477,0.0274
2005-06-01,0.0394,21.11,63.26,26.287871091254747,0.0297
2005-09-01,0.0434,21.72,66.47,24.87653872364796,0.0342
2005-12-01,0.043899999999999995,22.406666666666666,69.83,26.468702626685733,0.038900000000000004
2006-03-01,0.048600000000000004,23.0,72.67,26.147280943874527,0.0451
2006-06-01,0.051500000000000004,23.66,74.49,24.696786766853315,0.0479
2006-09-01,0.0464,24.36,78.57,26.53804028210173,0.0481
2006-12-01,0.0471,25.083333333333332,81.51,27.20753665680715,0.048499999999999995
2007-03-01,0.04650000000000001,25.71666666666667,83.15,26.976268314189106,0.049400000000000006
2007-06-01,0.050300000000000004,26.440000000000005,84.92,27.410088167204343,0.0461
2007-09-01,0.045899999999999996,27.230000000000004,78.6,27.320648130462022,0.038900000000000004
2007-12-01,0.0404,27.92,66.18,24.022317760836827,0.03
2008-03-01,0.0345,28.436666666666667,60.39,23.356040643201613,0.0126
2008-06-01,0.039900000000000005,28.756666666666668,51.37,20.907206462661577,0.018600000000000002
2008-09-01,0.0385,28.696666666666665,45.95,16.38735654878983,0.0113
2008-12-01,0.0225,28.013333333333335,14.88,15.174651936879664,0.0003
2009-03-01,0.0271,26.703333333333333,6.86,14.981866453039247,0.0021
2009-06-01,0.0353,25.026666666666664,7.51,16.694620816995613,0.0018
2009-09-01,0.0331,23.403333333333332,12.54,19.358008443486842,0.0012
2009-12-01,0.0385,22.24,50.97,20.52785980145442,0.0005
2010-03-01,0.0384,21.946666666666665,60.93,21.804845599625157,0.0015
2010-06-01,0.0297,22.143333333333334,67.1,19.668660470717704,0.0012
2010-09-01,0.0253,22.476666666666667,71.86,21.240127651759416,0.0015
2010-12-01,0.033,22.963333333333335,77.35,22.978299430554973,0.0014000000000000002
2011-03-01,0.0347,23.733333333333334,81.31,23.143929447285934,0.001
2011-06-01,0.0318,24.619999999999997,83.87,22.61098170115661,0.0004
2011-09-01,0.0192,25.596666666666664,86.98,20.155824786688736,0.0001
2011-12-01,0.0189,26.736666666666668,86.95,21.213008091803438,0.0001
2012-03-01,0.0223,27.673333333333332,88.54,21.77924690682488,0.0008
2012-06-01,0.0167,28.743333333333332,87.92,20.999341293380546,0.0009
2012-09-01,0.0165,30.14333333333333,86.5,21.57710965452877,0.0011
2012-12-01,0.0178,31.536666666666665,86.51,21.900475413821795,0.0007000000000000001
2013-03-01,0.0187,32.49666666666667,87.7,22.59565539610558,0.0009
2013-06-01,0.0252,33.64666666666667,90.95,23.49246017715964,0.0005
2013-09-01,0.0264,34.596666666666664,94.37,23.83473788763142,0.0002
2013-12-01,0.0304,35.403333333333336,100.2,24.859609093632702,0.0007000000000000001
2014-03-01,0.0273,36.61333333333333,100.85,24.786315396962628,0.0005
2014-06-01,0.0253,37.75,103.12,25.81754597615874,0.0004
2014-09-01,0.0252,38.806666666666665,105.96,25.16274828308325,0.0002
2014-12-01,0.0217,39.89666666666667,102.31,26.49229542038312,0.0003
2015-03-01,0.0194,41.120000000000005,99.25,26.791371680192327,0.0003
2015-06-01,0.0235,41.99666666666667,94.91,26.38113633639969,0.0002
2015-09-01,0.0206,42.803333333333335,90.66,25.491441046066754,0.0002
2015-12-01,0.0227,43.553333333333335,86.53,24.206167203878476,0.0023
2016-03-01,0.0178,44.07333333333334,86.44,25.922337543673883,0.0029
2016-06-01,0.0149,44.65,86.92,26.694003256096305,0.0027
2016-09-01,0.016,45.25333333333333,89.09,26.525143085070603,0.0029
2016-12-01,0.0245,45.92666666666667,94.55,28.063573742124472,0.0051
2017-03-01,0.024,46.660000000000004,100.29,28.904245956275165,0.0074
2017-06-01,0.0231,47.53666666666667,104.02,30.00222074401857,0.0098
2017-09-01,0.0233,48.42333333333333,107.08,30.920393290333845,0.0103
2017-12-01,0.024,49.28666666666666,109.88,33.307343828030675,0.0132
2018-03-01,0.0274,50.33,115.44,30.970179293325234,0.017
2018-06-01,0.0285,51.44,122.48,31.886366962159,0.019
2018-09-01,0.0305,52.81,130.39,31.03796107800651,0.0213
2018-12-01,0.0269,54.14666666666667,132.39,28.38016446354759,0.023700000000000002
2019-03-01,0.0241,55.319091580592705,134.39,30.13351717138752,0.024
2019-06-01,0.02,56.45818316118542,135.27,29.986685335042534,0.0217
2019-09-01,0.0168,57.56,132.9,28.841122881953417,0.0189
2019-12-01,0.0192,58.686867862126704,139.47,30.985220300230715,0.0154
2020-03-01,0.006999999999999999,59.61373572425342,116.33,25.92735882528018,0.0029
2020-06-01,0.0066,59.403333333333336,99.23,29.599194927667014,0.0016
2020-09-01,0.0069,58.659615378670054,98.22,31.283694032592855,0.0011
2020-12-01,0.009300000000000001,58.06369311230766,94.13,34.51243229410692,0.0009
2021-03-01,0.0174,57.71060542140715,128.2,36.71981410913301,0.0003
2021-06-01,0.014499999999999999,58.32818900579217,158.76,37.4433831846154,0.0004
2021-09-01,0.0152,59.63536092649366,175.43,37.25302500032531,0.0004
2021-12-01,0.0152,60.921402962953294,197.87,36.93675807029745,0.0006
2022-03-01,0.0232,62.65331621604982,197.91,33.88916475591386,0.0044
2022-06-01,0.0298,64.4527684478357,192.26,29.004618317208934,0.0149
2022-09-01,0.0383,65.85220356233806,187.23,27.080766925400685,0.0313
2022-12-01,0.0388,67.35,172.75,28.334813423755683,0.0425
2023-03-01,0.0348,68.37666666666667,175.17,28.764841267615363,0.046900000000000004
2023-06-01,0.0381,68.91104536354072,181.01,30.891659813659928,0.0516
2023-09-01,0.045899999999999996,69.64332137499402,184.25,28.76905495498397,0.053200000000000004
2023-12-01,0.0388,70.47740320664859,192.42999999999998,32.04512301259602,0.0524
2024-03-01,0.042,71.20848368988366,191.39,33.14159303076981,0.0524
2024-06-01,0.0436,71.97579960471046,191.39,35.7078567357486,0.0524
2024-07-01,0.0409,71.97579960471046,191.39,35.08126983125069,0.052000000000000005
