Date;ACWI_Net;USDPLN;ACWI_Net_PLN;CPI_USA;CPI_PLN
30.04.2008;534,4231;2,2152;1183,8541;90,6361;86,4469
31.05.2008;542,7756;2,1686;1177,0632;91,3994;87,0981
30.06.2008;498,2064;2,1293;1060,8309;92,3204;87,2609
31.07.2008;485,2688;2,0603;999,7993;92,8052;87,2609
31.08.2008;474,8094;2,2742;1079,8115;92,4347;86,9353
30.09.2008;415,4672;2,4161;1003,8103;92,3069;87,1795
31.10.2008;333,1422;2,7542;917,5402;91,3745;87,5051
30.11.2008;311,2558;2,9718;924,99;89,6244;87,6679
31.12.2008;322,5365;2,9383;947,709;88,6974;87,5865
31.01.2009;294,9793;3,4706;1023,7552;89,0835;87,9935
28.02.2009;266,0974;3,6588;973,5972;89,5265;88,8075
31.03.2009;288,016;3,5139;1012,0594;89,7442;89,4587
30.04.2009;322,0151;3,3455;1077,3015;89,9682;90,1099
31.05.2009;354,1002;3,1928;1130,5711;90,2281;90,5983
30.06.2009;352,1147;3,172;1116,9078;91,0032;90,7611
31.07.2009;383,1107;2,9079;1114,0476;90,8589;90,8425
31.08.2009;396,8125;2,8526;1131,9473;91,0627;90,5169
30.09.2009;415,0172;2,8691;1190,7258;91,1196;90,5169
31.10.2009;408,6038;2,8859;1179,1897;91,2074;90,5983
30.11.2009;425,4087;2,779;1182,2108;91,2719;90,8425
31.12.2009;434,2183;2,8602;1241,9512;91,1112;90,8425
31.01.2010;415,4529;2,9069;1207,68;91,4226;91,4123
28.02.2010;420,7451;2,9008;1220,4974;91,4453;91,5751
31.03.2010;447,813;2,8492;1275,9088;91,8208;91,8193
30.04.2010;448,5664;2,9547;1325,3791;91,9803;92,2263
31.05.2010;406,0398;3,3121;1344,8444;92,0516;92,4705
30.06.2010;393,5308;3,3697;1326,0807;91,9618;92,7147
31.07.2010;425,5516;3,0673;1305,2944;91,9812;92,5519
31.08.2010;410,675;3,1458;1291,9014;92,1082;92,1449
30.09.2010;449,9627;2,9136;1311,0113;92,1617;92,7147
31.10.2010;466,2248;2,8462;1326,969;92,2765;93,2031
30.11.2010;455,8512;3,0841;1405,8907;92,3153;93,2845
31.12.2010;489,2326;2,9579;1447,1011;92,474;93,6915
31.01.2011;496,9101;2,8677;1424,9891;92,9144;94,8311
28.02.2011;511,3797;2,8692;1467,2506;93,3726;94,9939
31.03.2011;510,869;2,8386;1450,1527;94,2831;95,8893
30.04.2011;531,7699;2,6528;1410,6792;94,8902;96,3777
31.05.2011;520,3392;2,7491;1430,4645;95,3366;96,9475
30.06.2011;512,1403;2,742;1404,2887;95,2345;96,5405
31.07.2011;503,8021;2,7824;1401,779;95,3189;96,2149
31.08.2011;466,9997;2,8646;1337,7673;95,5818;96,2149
30.09.2011;422,9091;3,2852;1389,341;95,7269;96,2963
