timestamp,short_us,real_us,term_us,USA_Net_short_us
1989-04-01,0.09576666666666661,0.007354875028240639,-0.008033333333333309,0.03851597636584346
1989-07-01,0.0872666666666667,0.013528302984829115,-0.006200000000000011,0.0626039253119334
1989-10-01,0.08436666666666669,0.011292732322341173,-0.005299999999999985,0.07709847233437667
1990-01-01,0.0824333333333334,0.003331287023139,0.001799999999999996,-0.0032143922148522124
1990-04-01,0.0833333333333334,0.010516953974013562,0.003433333333333205,-0.05232794987088361
1990-07-01,0.0804333333333334,0.0027880755700001765,0.006599999999999898,0.041595586467871246
1990-10-01,0.0797,0.0036443548683541827,0.00426666666666671,-0.1674306148385372
1991-01-01,0.06713333333333331,0.008450307040084613,0.0130333333333333,0.06853242586593326
1991-04-01,0.0601333333333333,0.009004308497920836,0.02116666666666671,0.12016180258115651
1991-07-01,0.057,0.006313951511246732,0.022399999999999996,-0.01875958705444293
1991-10-01,0.04913333333333331,0.004675988075600516,0.0243333333333334,0.03811842026012889
1992-01-01,0.0412333333333333,0.003259947020524405,0.031799999999999995,0.07147970197996516
1992-04-01,0.0389333333333333,0.0015464469210693943,0.034833333333333404,-0.03594221278486493
1992-07-01,0.0327,0.00030414951323175926,0.03346666666666669,0.007166065632515694
1992-10-01,0.0344,0.0014910765819441335,0.03303333333333329,0.016625499021266806
1993-01-01,0.031400000000000004,-0.0006017622152450809,0.031400000000000004,0.039764767383512555
1993-04-01,0.0313333333333333,0.00014530229852453575,0.0285666666666667,0.03233549395997385
1993-07-01,0.031400000000000004,0.0038973127487127905,0.024766666666666694,-0.0038322058567402447
1993-10-01,0.0328333333333333,0.0012908116549029012,0.023233333333333404,0.014334444949849971
1994-01-01,0.0345,0.0022056093141477294,0.0261666666666667,0.012163284276416213
1994-04-01,0.0434666666666667,0.004466010741147959,0.0273666666666666,-0.049750626591002475
1994-07-01,0.0485666666666667,0.0033014999152325697,0.024766666666666604,-0.011814373808836723
1994-10-01,0.058633333333333294,0.009862766754246848,0.0197333333333334,0.03417903651215493
1995-01-01,0.0618333333333333,0.0071315855432593465,0.01299999999999999,-0.014456311455805367
1995-04-01,0.0601,0.006114151505469666,0.006099999999999994,0.07590825937710617
1995-07-01,0.0575666666666666,0.009918512093253264,0.005666666666666695,0.07788958780428416
1995-10-01,0.057166666666666595,0.00940473091384857,0.001766666666666708,0.06190013192883653
1996-01-01,0.0527666666666667,0.004032091857343404,0.006333333333333302,0.04325935791014594
1996-04-01,0.0539333333333333,0.0035494759172358427,0.013266666666666697,0.04095323842141326
1996-07-01,0.0548,0.008297427390590504,0.012999999999999998,0.03217065281616453
1996-10-01,0.0541,0.006258280353114621,0.009333333333333298,0.017072480657875484
1997-01-01,0.0544333333333333,0.006809377497213283,0.011199999999999995,0.06444438025469403
1997-04-01,0.056900000000000006,0.010163499019655742,0.010066666666666696,0.01239115353136426
