Date;ACWI_Net;USDPLN;ACWI_Net_PLN;CPI_USA;CPI_PLN;WIBOR3m;10yPL;TBSP
30.06.1992;134,5005;;;59,1519;;;;
31.07.1992;134,8765;;;59,2785;;;;
31.08.1992;137,8468;;;59,4472;;;;
30.09.1992;136,6172;;;59,616;;;;
31.10.1992;133,2212;;;59,8269;;;;
30.11.1992;135,3853;;;59,9113;;;;
31.12.1992;136,6119;;;59,8691;;;;
31.01.1993;137,0407;;;60,1645;;;;
28.02.1993;140,209;;;60,3754;;;;
31.03.1993;148,2101;;;60,5864;;;;
30.04.1993;154,8825;;;60,7551;;;;
31.05.1993;158,4591;;;60,8395;;;;
30.06.1993;157,3677;;;60,9239;;;;
31.07.1993;160,5684;;;60,9239;;;;
31.08.1993;168,1183;;;61,0927;;;;
30.09.1993;165,2322;;;61,2192;;;;
31.10.1993;170,0595;;;61,4724;;;;
30.11.1993;161,1513;;;61,5146;;;;
31.12.1993;169,803;;;61,5146;;;;
31.01.1994;180,9962;;;61,6833;;;;
28.02.1994;178,3077;;;61,8943;;;;
31.03.1994;170,225;;;62,1053;;;;
30.04.1994;174,7863;;;62,1896;;;;
31.05.1994;175,747;;;62,2318;;;;
30.06.1994;174,8233;;;62,4428;;;;
31.07.1994;178,623;;;62,6115;;;;
31.08.1994;184,9143;;;62,8647;;;;
30.09.1994;180,4983;;;63,0335;;;;
31.10.1994;185,0523;;;63,0757;;;;
30.11.1994;176,942;;;63,16;;;;
31.12.1994;177,4887;;;63,16;;;;
31.01.1995;173,8062;;;63,4132;;;;
28.02.1995;175,5932;;;63,6663;;;;
31.03.1995;183,5659;;;63,8773;;;;
30.04.1995;190,1693;;;64,0882;;;;
31.05.1995;192,1928;;;64,2148;;;;
30.06.1995;192,1586;;;64,3414;;;;
31.07.1995;201,3792;;;64,3414;;;;
31.08.1995;196,8897;;;64,5101;;;;
30.09.1995;202,2279;;;64,6367;;;;
31.10.1995;198,7671;;;64,8477;;;;
30.11.1995;204,9404;;;64,8055;;;;
31.12.1995;211,0298;;;64,7633;;;;
31.01.1996;215,6367;;;65,143;;;;
29.02.1996;216,4484;;;65,354;;;;
31.03.1996;219,6941;;;65,6915;;;;
30.04.1996;224,9709;;;65,9446;;;;
31.05.1996;225,1137;;;66,0712;;;;
30.06.1996;226,2584;;;66,1134;;;;
31.07.1996;217,7176;;;66,24;;;;
31.08.1996;220,3158;;;66,3666;;;;
30.09.1996;228,3635;;;66,5775;;;;
31.10.1996;229,1856;;;66,7885;;;;
30.11.1996;241,3466;;;66,915;;;;
31.12.1996;237,7546;;;66,915;;;;
31.01.1997;241,6484;;;67,126;;;;
28.02.1997;244,8465;;;67,3369;;;;
31.03.1997;239,8509;;;67,5057;;;;
30.04.1997;247,4589;;;67,5901;;;;
31.05.1997;262,1253;;;67,5479;;;;
30.06.1997;275,434;;;67,6323;;;;
31.07.1997;287,7783;;;67,7167;;;;
31.08.1997;267,4723;;;67,8432;;;;
30.09.1997;281,6301;;;68,012;;;;
31.10.1997;264,7486;;;68,1808;;;;
30.11.1997;268,6931;;;68,1386;;;;
31.12.1997;272,1136;3,52;957,8399;68,0542;;;;
31.01.1998;277,9955;3,544;985,2161;68,1808;;;;
28.02.1998;296,9022;3,478;1032,6259;68,3073;;;;
31.03.1998;309,452;3,449;1067,2999;68,4339;;;;
30.04.1998;312,2288;3,394;1059,7045;68,5605;;;;
31.05.1998;306,1801;3,486;1067,3438;68,6871;;;;
30.06.1998;311,5742;3,4845;1085,6803;68,7714;;;;
31.07.1998;311,5516;3,432;1069,2451;68,8558;;;;
31.08.1998;267,7782;3,69;988,1016;68,9402;;;;
30.09.1998;272,9982;3,57;974,6036;69,0246;;;;
31.10.1998;297,8216;3,422;1019,1455;69,1934;;;;
30.11.1998;315,7835;3,482;1099,5581;69,1934;;;;
31.12.1998;330,3228;3,505;1157,7814;69,1512;;;;
31.01.1999;336,9419;3,665;1234,8921;69,3199;;;;
28.02.1999;328,3391;3,94;1293,6561;69,4043;;;;
31.03.1999;342,9766;3,99;1368,4766;69,6153;;;;
30.04.1999;357,6575;3,951;1413,1048;70,1216;;;;
31.05.1999;344,8764;3,965;1367,4349;70,1216;;;;
30.06.1999;361,9091;3,91;1415,0646;70,1216;;;;
31.07.1999;360,2857;3,852;1387,8205;70,3325;;;;
31.08.1999;359,7093;3,97;1428,0459;70,5013;;;;
30.09.1999;355,6877;4,0972;1457,3236;70,8388;;;;
31.10.1999;373,5599;4,217;1575,3021;70,9654;;;;
30.11.1999;385,0179;4,23;1628,6257;71,0076;;;;
31.12.1999;416,9394;4,13;1721,9597;71,0076;;;;
31.01.2000;394,2818;4,206;1658,3493;71,2185;;;;
29.02.2000;395,4634;4,16;1645,1277;71,6404;;;;
31.03.2000;421,3028;4,127;1738,7167;72,2311;;;;
30.04.2000;402,2368;4,465;1795,9873;72,2733;;;;
31.05.2000;391,6377;4,39;1719,2895;72,3577;;;;
30.06.2000;404,7561;4,35;1760,689;72,7374;;;;
31.07.2000;392,7065;4,3355;1702,579;72,9062;;;;
31.08.2000;404,758;4,369;1768,3877;72,9062;;;;
30.09.2000;382,3656;4,525;1730,2043;73,2859;;;;
31.10.2000;374,7321;4,644;1740,2559;73,4125;;;;
30.11.2000;351,3672;4,4835;1575,3548;73,4546;;;;
31.12.2000;357,0962;4,128;1474,0931;73,4125;;;;
31.01.2001;366,0736;4,08;1493,5803;73,8766;;;;
28.02.2001;335,2027;4,0375;1353,3809;74,1719;;;;
31.03.2001;312,5163;4,0903;1278,2854;74,3407;;;;
30.04.2001;335,1455;3,9618;1327,7794;74,636;;;;
31.05.2001;331,2068;3,9824;1318,998;74,9735;;;;
30.06.2001;320,9652;4,0069;1286,0755;75,1001;;;;
31.07.2001;315,8409;4,2558;1344,1557;74,8891;;;;
31.08.2001;301,2178;4,239;1276,8623;74,8891;;;;
30.09.2001;273,625;4,2283;1156,9686;75,2267;;;;
31.10.2001;279,3992;4,0908;1142,9662;74,9735;;;;
30.11.2001;296,5006;4,0659;1205,5418;74,847;;;;
31.12.2001;299,2145;3,9623;1185,5776;74,5516;;;;
31.01.2002;290,9549;4,1732;1214,213;74,7204;;;;
28.02.2002;288,7302;4,2247;1219,7985;75,0157;;;;
31.03.2002;301,6642;4,1183;1242,3437;75,4376;;;;
30.04.2002;291,9976;3,9918;1165,596;75,8595;;;;
31.05.2002;292,2226;4,0177;1174,0627;75,8595;;;;
30.06.2002;274,282;4,0537;1111,8569;75,9017;;;;
31.07.2002;251,2208;4,1743;1048,671;75,9861;;;;
31.08.2002;251,7778;4,1277;1039,2632;76,2393;;;;
30.09.2002;224,0779;4,1466;929,1614;76,3658;;;;
31.10.2002;240,515;4,0306;969,4198;76,4924;;;;
30.11.2002;253,5848;4,0147;1018,0669;76,4924;;;;
31.12.2002;241,4149;3,828;924,1362;76,3236;75,4661;;;
31.01.2003;234,3087;3,821;895,2935;76,6612;75,7475;0,0647;0,05734;
28.02.2003;230,1057;3,9107;899,8744;77,2519;75,8178;0,0627;0,05553;
31.03.2003;229,1129;4,1005;939,4774;77,7159;76,0288;0,0598;0,05478;
30.04.2003;249,421;3,8115;950,6681;77,5472;76,1695;0,0569;0,05299;
31.05.2003;263,762;3,7144;979,7176;77,4206;76,1695;0,054;0,05059;
30.06.2003;268,7006;3,8988;1047,6099;77,505;76,0991;0,0532;0,05103;
31.07.2003;274,5784;3,8664;1061,6299;77,5894;75,8178;0,0524;0,05669;
31.08.2003;280,999;3,97;1115,566;77,8847;75,5365;0,0514;0,05654;
30.09.2003;282,706;3,9468;1115,784;78,1379;75,8881;0,0524;0,06114;
31.10.2003;299,7752;4,025;1206,5952;78,0535;76,3101;0,0586;0,07153;
30.11.2003;304,2638;3,902;1187,2373;77,8425;76,5211;0,0583;0,07394;
